BarcodeID,SpeciesID,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
D00002,CHIL,0,0,0.04,0.44,0.74,1.32,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00002,GAMM,0,0,0.06,0.59,1.35,0.86,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00002,NZMS,0.11,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00002,SIML,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
D00003,CHIL,0,0,0.02,0.38,0.6,1.2,0.19,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0
D00003,GAMM,0,0,0.06,0.99,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00003,NZMS,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00003,SIML,0,0,0,0.05,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00004,CHIL,0,0,0.07,0.22,0.27,1.08,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00004,GAMM,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00004,NZMS,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00004,SIML,0,0,0,0,0.26,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00005,CHIL,0,0,0.02,0.32,0.34,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00005,GAMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00005,NZMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00005,SIML,0,0,0,0.05,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00006,CHIL,0,0,0.07,0.22,0.27,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00006,GAMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00006,NZMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00006,SIML,0,0,0.02,0,0.13,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00009,CHIL,0,0,0.07,0.54,0.54,1.08,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00009,GAMM,0,0,0.12,0.79,1.81,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00009,NZMS,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00009,SIML,0,0,0.02,0.05,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00533,CHIL,0,0,0.04,0.41,0.54,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00533,GAMM,0,0.02,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00533,NZMS,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00533,SIML,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00535,CHIL,0,0,0.07,0.32,0.47,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00535,GAMM,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00535,NZMS,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00535,SIML,0,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00536,CHIL,0,0,0.01,0.09,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00536,GAMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00536,NZMS,0.19,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00536,SIML,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00541,CHIL,0,0,0.02,0.06,0.2,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00541,GAMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00541,NZMS,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00541,SIML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00549,CHIL,0,0.01,0.2,0.63,1.21,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00549,GAMM,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00549,NZMS,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00549,SIML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00550,CHIL,0,0.01,0.31,0.6,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
